Euler Midpoint Heun RK4 
0.0 1.0 1.0 1.0 1.0
0.1 1.85 1.7529750000000002 1.7559 1.7539500000000001
0.2 2.5118 2.3293 2.335 2.3312
0.30000000000000004 3.0082 2.751175 2.7595 2.7539499999999997
0.4 3.3608000000000002 3.0396 3.0504000000000002 3.0431999999999997
0.5 3.5900000000000003 3.214375 3.2275 3.2187499999999996
0.6 3.7150000000000003 3.2941000000000003 3.3094 3.2991999999999995
0.7 3.7538000000000005 3.2961750000000003 3.3135 3.3019499999999993
0.7999999999999999 3.7232000000000003 3.2368 3.256 3.2431999999999994
0.8999999999999999 3.6388000000000003 3.130975 3.1519 3.137949999999999
0.9999999999999999 3.515 2.9924999999999997 3.0149999999999997 2.999999999999999
1.0999999999999999 3.365 2.8339749999999997 2.8579 2.8419499999999993
1.2 3.2008 2.6667999999999994 2.692 2.6751999999999994
1.3 3.0332000000000003 2.5011749999999995 2.5275000000000003 2.5099499999999995
1.4000000000000001 2.8718000000000004 2.3461 2.3734 2.3551999999999995
1.5000000000000002 2.7250000000000005 2.2093749999999996 2.2375000000000003 2.2187499999999996
1.6000000000000003 2.600000000000001 2.0975999999999995 2.1264000000000003 2.1071999999999997
1.7000000000000004 2.502800000000001 2.0161749999999996 2.0455000000000005 2.02595
1.8000000000000005 2.4382000000000015 1.9693000000000003 1.999000000000001 1.9792000000000005
1.9000000000000006 2.4098000000000015 1.9599749999999998 1.989900000000001 1.96995
2.0000000000000004 2.4200000000000013 1.99 2.020000000000001 2.0000000000000004
2.1000000000000005 2.470000000000002 2.059975000000001 2.089900000000001 2.0699500000000013
2.2000000000000006 2.5598000000000014 2.1693000000000007 2.1990000000000003 2.179200000000001
2.3000000000000007 2.6882000000000006 2.3161750000000008 2.345500000000001 2.325950000000001
2.400000000000001 2.852800000000002 2.4976000000000016 2.526400000000002 2.507200000000002
2.500000000000001 3.050000000000003 2.709375000000001 2.737500000000003 2.7187500000000018
2.600000000000001 3.2750000000000044 2.946100000000001 2.973400000000004 2.955200000000002
2.700000000000001 3.5218000000000047 3.2011750000000014 3.2275000000000036 3.2099500000000023
2.800000000000001 3.783200000000004 3.4668000000000014 3.4920000000000027 3.475200000000002
2.9000000000000012 4.050800000000003 3.733975000000002 3.757900000000002 3.741950000000002
3.0000000000000013 4.315000000000003 3.9925000000000006 4.0150000000000015 4.000000000000001
3.1000000000000014 4.565000000000001 4.230975 4.251900000000001 4.2379500000000005
3.2000000000000015 4.788800000000001 4.4368 4.456 4.443200000000001
3.3000000000000016 4.9732 4.596175 4.613499999999999 4.60195
3.4000000000000017 5.103799999999999 4.694099999999998 4.709399999999998 4.6991999999999985
3.5000000000000018 5.164999999999998 4.714374999999998 4.7274999999999965 4.718749999999998
3.600000000000002 5.139999999999997 4.639599999999997 4.650399999999994 4.643199999999997
3.700000000000002 5.010799999999994 4.451174999999995 4.459499999999991 4.4539499999999945
3.800000000000002 4.7581999999999915 4.129299999999991 4.134999999999989 4.131199999999991
3.900000000000002 4.36179999999999 3.652974999999988 3.6558999999999875 3.6539499999999885
4.000000000000002 3.7999999999999874 2.9999999999999845 2.999999999999985 2.9999999999999853
